CountryName,CountryCode,2010,2011,2012,2013,2014,2015,2016,2017
South Asia,SAS,43.31045306,40.65958392,38.00789492,35.57150164,33.11449949,30.63498048,28.1174953,25.58497242
Saudi Arabia,SAU,11.1736,10.7918,10.41,9.7928,9.1756,8.5584,7.9412,7.324
Sudan,SDN,92.1528,86.0804,80.008,76.805,73.602,70.399,67.196,63.993
Senegal,SEN,87.5702,85.5856,83.601,81.4258,79.2506,77.0754,74.9002,72.725
Singapore,SGP,4.7298,4.3194,3.909,3.8332,3.7574,3.6816,3.6058,3.53
Solomon Islands,SLB,71.8502,74.9266,78.003,78.003,78.003,78.003,78.003,78.003
Sierra Leone,SLE,134.3892,130.4906,126.592,123.8392,121.0864,118.3336,115.5808,112.828
El Salvador,SLV,77.1074,75.3112,73.515,72.7038,71.8926,71.0814,70.2702,69.459
Somalia,SOM,117.0728,113.7244,110.376,108.3178,106.2596,104.2014,102.1432,100.085
Serbia,SRB,20.1792,19.4716,18.764,17.9524,17.1408,16.3292,15.5176,14.706
Sub-Saharan Africa (excluding high income),SSA,115.1808462,113.5561182,111.9115485,110.0527442,108.2091024,106.3886147,104.5783017,102.7908548
South Sudan,SSD,86.1788,82.1264,78.074,74.8672,71.6604,68.4536,65.2468,62.04
Sub-Saharan Africa,SSF,115.176701,113.5524139,111.9081406,110.0496072,108.2062239,106.385944,104.5758405,102.7885852
Small states,SST,65.03788788,64.02630334,63.05381885,62.30508466,61.54941055,60.76192254,59.9061826,59.01540835
Sao Tome and Principe,STP,102.6524,101.5492,100.446,99.2788,98.1116,96.9444,95.7772,94.61
Suriname,SUR,68.2796,66.8848,65.49,64.723,63.956,63.189,62.422,61.655
Slovak Republic,SVK,21.9232,22.1936,22.464,23.108,23.752,24.396,25.04,25.684
Slovenia,SVN,4.9044,4.8172,4.73,4.5392,4.3484,4.1576,3.9668,3.776
Sweden,SWE,5.6526,5.5328,5.413,5.3456,5.2782,5.2108,5.1434,5.076
Eswatini,SWZ,84.7024,82.2562,79.81,79.187,78.564,77.941,77.318,76.695
Seychelles,SYC,60.7498,61.0294,61.309,61.4572,61.6054,61.7536,61.9018,62.05
Syrian Arab Republic,SYR,46.6396,44.9638,43.288,42.3488,41.4096,40.4704,39.5312,38.592
Chad,TCD,185.364,181.792,178.22,174.794,171.368,167.942,164.516,161.09
East Asia & Pacific (IDA & IBRD countries),TEA,21.65358604,22.29500917,22.75137451,22.71812061,22.64367573,22.5997361,22.53080615,22.4528779
Europe & Central Asia (IDA & IBRD countries),TEC,28.97074593,28.71284289,28.46549532,27.83762296,27.20908487,26.56910587,25.90521133,25.21611813
Togo,TGO,92.1382,91.9376,91.737,91.2078,90.6786,90.1494,89.6202,89.091
Thailand,THA,47.9138,49.7384,51.563,50.232,48.901,47.57,46.239,44.908
Tajikistan,TJK,48.0976,49.2628,50.428,51.7576,53.0872,54.4168,55.7464,57.076
Turkmenistan,TKM,24.7322,25.5936,26.455,26.0476,25.6402,25.2328,24.8254,24.418
Latin America & the Caribbean (IDA & IBRD countries),TLA,70.83250221,69.68364803,68.53103699,67.51142833,66.49108467,65.46846802,64.41353275,63.3671868
Timor-Leste,TLS,44.6758,41.7634,38.851,37.8378,36.8246,35.8114,34.7982,33.785
Middle East & North Africa (IDA & IBRD countries),TMN,42.49117729,43.24673715,44.02165221,44.1162999,44.14119244,44.07970349,43.94097382,43.75457615
Tonga,TON,17.5552,17.0786,16.602,16.214,15.826,15.438,15.05,14.662
South Asia (IDA & IBRD),TSA,43.31045306,40.65958392,38.00789492,35.57150164,33.11449949,30.63498048,28.1174953,25.58497242
Sub-Saharan Africa (IDA & IBRD countries),TSS,115.176701,113.5524139,111.9081406,110.0496072,108.2062239,106.385944,104.5758405,102.7885852
Trinidad and Tobago,TTO,36.1182,35.4616,34.805,33.862,32.919,31.976,31.033,30.09
Tunisia,TUN,7.1268,7.3584,7.59,7.6402,7.6904,7.7406,7.7908,7.841
Turkey,TUR,34.1514,32.6972,31.243,30.3062,29.3694,28.4326,27.4958,26.559
Tanzania,TZA,127.276,125.218,123.16,122.205,121.25,120.295,119.34,118.385
Uganda,UGA,139.4264,135.6572,131.888,129.2776,126.6672,124.0568,121.4464,118.836
Ukraine,UKR,28.9362,28.4446,27.953,27.1046,26.2562,25.4078,24.5594,23.711
